epoch,train_pinball,val_pinball,seconds
0,0.22000,0.17378,10.1
1,0.17873,0.16789,10.0
2,0.17438,0.16173,10.1
3,0.17345,0.16190,10.0
4,0.17154,0.16156,10.0
5,0.17108,0.16205,10.1
6,0.17051,0.16280,9.9
7,0.17010,0.16031,10.0
8,0.16939,0.15904,10.3
9,0.16839,0.16156,10.0
10,0.16886,0.16176,10.0
11,0.16901,0.16145,10.0
12,0.16829,0.16032,10.0
13,0.16832,0.15701,10.0
14,0.16800,0.15975,10.0
15,0.16852,0.15846,10.1
16,0.16758,0.15706,10.0
17,0.16803,0.15957,10.0
18,0.16741,0.16331,10.0
19,0.16827,0.16019,10.0
20,0.16723,0.15886,10.0
21,0.16764,0.15743,10.0
