epoch,train_pinball,val_pinball,seconds
0,0.25525,0.19925,5.7
1,0.19845,0.17915,6.1
2,0.18833,0.17495,6.1
3,0.18323,0.17030,6.1
4,0.17901,0.16856,6.0
5,0.17541,0.16725,6.0
6,0.17623,0.16345,6.0
7,0.17374,0.16144,6.4
8,0.17345,0.16291,6.1
9,0.17207,0.16273,6.2
10,0.17018,0.16581,6.1
11,0.17087,0.16447,5.7
12,0.17035,0.16300,6.1
13,0.16940,0.16864,6.0
14,0.16936,0.16485,6.3
15,0.16826,0.16035,6.2
16,0.16803,0.16099,6.1
17,0.16768,0.16213,6.3
18,0.16769,0.16132,5.9
19,0.16729,0.15984,6.4
20,0.16663,0.16121,6.1
21,0.16722,0.16168,5.9
22,0.16683,0.16466,5.9
23,0.16568,0.16516,6.0
24,0.16729,0.16097,5.9
25,0.16590,0.16246,5.9
26,0.16499,0.16658,5.9
27,0.16468,0.15926,5.9
28,0.16507,0.16232,6.0
29,0.16500,0.16197,6.3
30,0.16550,0.16437,5.9
31,0.16410,0.16264,6.1
32,0.16427,0.16652,6.2
33,0.16398,0.16656,6.7
34,0.16406,0.16307,6.0
35,0.16434,0.16572,6.3
