epoch,train_pinball,val_pinball,seconds
0,0.40291,0.38106,1.8
1,0.28765,0.19808,1.8
2,0.17285,0.12215,1.8
3,0.14091,0.09935,1.8
4,0.12589,0.08650,1.8
5,0.11747,0.08606,1.9
6,0.11340,0.09168,1.9
7,0.11049,0.08137,1.8
8,0.10819,0.07791,1.8
9,0.10511,0.07811,1.8
10,0.10103,0.07885,1.8
11,0.09548,0.07555,1.8
12,0.09205,0.07646,1.9
13,0.08638,0.07893,2.0
14,0.08328,0.07407,1.9
15,0.08304,0.07202,1.8
16,0.07879,0.07432,1.9
17,0.07799,0.07090,1.9
18,0.07712,0.07041,1.9
19,0.07549,0.07867,1.8
20,0.07575,0.07151,1.8
21,0.07520,0.08285,1.8
22,0.07450,0.06402,1.8
23,0.07308,0.06907,1.8
24,0.07240,0.07148,1.9
25,0.07245,0.07032,1.9
26,0.07185,0.07060,1.8
