epoch,train_pinball,val_pinball,seconds
0,0.37158,0.37204,2.1
1,0.30027,0.30510,2.2
2,0.25843,0.24296,2.1
3,0.20499,0.15851,2.0
4,0.17191,0.13547,1.9
5,0.15127,0.11735,2.1
6,0.13873,0.11603,2.0
7,0.13087,0.10417,2.2
8,0.12450,0.10342,2.1
9,0.12025,0.09621,2.1
10,0.11545,0.09427,2.2
11,0.10967,0.09070,2.2
12,0.10581,0.09119,2.4
13,0.10366,0.08407,2.3
14,0.10120,0.08770,2.3
15,0.10266,0.08447,2.3
16,0.09928,0.08827,2.3
17,0.09769,0.08299,2.4
18,0.09381,0.08203,2.3
19,0.09201,0.07784,2.5
20,0.09065,0.07843,2.4
21,0.09087,0.08137,2.6
22,0.08876,0.07952,2.2
23,0.08783,0.07607,2.5
24,0.08785,0.08153,2.5
25,0.08644,0.07490,2.7
26,0.08457,0.07794,2.5
27,0.08419,0.07447,2.6
28,0.08373,0.07594,2.6
29,0.08209,0.07151,2.5
30,0.08152,0.07484,2.8
31,0.08196,0.07454,2.9
32,0.08120,0.07127,3.0
33,0.08012,0.07059,2.9
34,0.07978,0.07195,2.7
35,0.07898,0.06949,2.8
36,0.07849,0.07425,3.0
37,0.07938,0.07141,3.1
38,0.07899,0.07352,3.0
39,0.07709,0.07770,2.9
40,0.07903,0.07154,3.0
41,0.07703,0.07222,3.1
42,0.07618,0.07069,2.9
43,0.07534,0.07014,3.0
