step,return,cost,co2,peak,soc_dev,projection,tie_viol_steps
96,-83.796448,7199.043847768283,22.341415243438266,3.6731568762429916,0.24228815463812725,15.529462923109532,3
192,-58.131398,5023.31580986547,17.653375668983063,2.4147603747616855,0.109088176273202,17.393542653322225,0
288,-49.273893,3881.608707627909,16.086990814734023,2.506453368848101,0.3086084825918079,24.34296214148403,0
384,-68.48826,5931.549742143816,20.01218880024718,3.2516751727347963,0.12456236370888218,19.940923056006433,1
480,-38.428645,2916.5290703557957,15.331917683422825,2.5809678394916173,0.24209275919159784,23.19323775798084,0
576,-44.051639,3336.623742574596,15.889829533395243,1.6711328202423292,0.35,20.843186284303663,0
672,-55.073219,4402.085691488955,15.796376355685126,2.6586235872844957,0.35,19.83412461578846,0
768,-47.738026,3768.2625195482665,18.120911393638732,2.571002647888352,0.23938175010445872,19.48567407212924,0
864,-62.078771,5089.834442825802,19.789357024947844,2.647484545201784,0.2789750098789995,20.23446432650089,0
960,-61.545223,5376.720923898717,18.556763656242985,3.1001252534169885,0.06472896498284836,19.539889522492892,1
1056,-78.555364,6701.042607242965,21.845918850004455,2.6513142952747346,0.2620424443169638,17.07038185000419,0
1152,-65.09136,5685.286160889846,19.97758858524038,2.674586108629535,0.07835915781753611,17.889381593465806,0
1248,-50.386236,4327.571142057325,17.695983428023546,2.44208348098229,0.05499309121974205,18.47699081947269,0
1344,-56.878234,4526.403207627521,18.180211003427555,2.2753459233400193,0.35,19.439351507127277,0
1440,-57.042885,4910.43271744457,18.732767005343455,2.636923771239418,0.08426388808967245,18.254453603476282,0
1536,-45.476783,3596.9456707404356,15.832060033220833,2.257955756844402,0.2569684208321732,15.693013888597488,0
1632,-56.09406,4598.664139905462,18.000617591896052,2.5303868672512664,0.24633860049867273,23.03451532125473,0
1728,-45.932974,3967.8590345975153,15.955351497700892,1.7052699358779364,0.052378007514696456,21.153634992241866,0
1824,-54.64864,4656.085503207512,19.447610954003963,2.2938169228479603,0.08906501312004889,21.054446029365067,0
1920,-45.569278,3897.570964944324,16.531183551746732,2.568200746368489,0.04046222121503773,15.901252642273896,0
2016,-68.966809,5977.546650957882,20.10026473524933,2.9633585892087564,0.13172800014481745,18.8312631828633,0
2112,-63.829602,5259.404366328155,19.553150122433944,2.59602342162638,0.28874691813988146,19.68164975762037,0
2208,-64.209288,5394.706455444781,19.634002939603523,2.8945849877201733,0.21427922472357747,31.3844041864574,0
2304,-41.646055,3089.9346274926343,15.72741148283962,1.9462122233788761,0.35,24.804930079877376,0
2400,-57.532623,4851.7199605519945,18.151332477244658,2.812408908421418,0.16300401936628317,27.08875394806266,0
2496,-57.21592,4824.141922082854,18.23202749030111,2.586271806997986,0.16469222081727103,27.368685417771335,0
2592,-40.977473,3090.612311364689,14.398665591086617,1.787590769177327,0.3357809269800782,32.14040472581983,0
2688,-63.222139,5265.8071141182145,18.76882395669668,2.8963655873448184,0.25165832424046186,20.690758254528046,0
2784,-52.567466,4197.067310172577,17.337444814375445,2.367771007543686,0.2965634215623141,19.487811707854274,0
2880,-47.540698,3926.1811381712346,17.620663080074703,2.24136708768564,0.13974270922572984,26.568195731639864,0
2976,-49.320973,3848.5208537258563,15.872704672976612,2.0598835196025598,0.35,30.93796129539609,0
3072,-79.023232,6758.945378384684,22.39594638763347,2.4619693588718947,0.2486804286214082,23.37717310741544,0
3168,-61.301009,4988.568506802174,18.10863302985283,2.6710314730993296,0.32762140634616743,36.028094922304156,0
3264,-46.771339,3843.42326830375,16.407632774228443,1.9404684271802166,0.17590863405677826,17.09183596968651,0
3360,-41.835282,3103.869527301703,15.112603281493588,2.532014550492826,0.35,34.91193916738033,0
3456,-96.876002,8405.518275385512,25.291576481994113,3.8470540875323533,0.24630161467939615,26.109609081745162,6
3552,-43.399285,3370.2943334802153,15.463753152932613,1.8833425730678706,0.28692525047808887,22.21562251880765,0
3648,-68.935632,6013.723850760071,20.99840555341757,2.8670982630333546,0.09013547940473793,17.611056455969806,0
3744,-72.167963,5954.176532233881,21.314149996635532,2.4548827127017323,0.35,21.9390811599791,0
3840,-53.661983,4390.790471298086,17.258135744795105,1.954690252812468,0.2529840704053641,33.019760320484636,0
3936,-61.266185,5168.583876283397,19.60387705149881,2.8009368402385935,0.17192057754452295,13.728127315342434,0
4032,-55.011184,4384.919979249348,16.355828004420644,2.513090653874959,0.35,31.373439623117456,0
4128,-44.474049,3500.6831300874323,16.194869305477503,2.156806872386024,0.24973563024480094,29.683215850144627,0
4224,-43.267641,3411.9417913922766,17.10462393399908,2.9259280468329036,0.18976432735002358,19.304531613886358,0
4320,-90.206297,7653.289634488298,24.6556764729971,3.5869477873612414,0.32279457449913024,19.775227123647934,3
4416,-59.207581,5151.746124694961,18.13291214497679,2.9511831198268372,0.07131822158239387,18.37937488868832,0
4512,-59.215638,4784.579736757487,18.54270946142473,2.5833090855489806,0.3182469411017864,31.18869886979461,0
4608,-52.658153,4201.664955225788,18.037819302945625,2.3369706934478263,0.28635797651582645,23.057829487025735,0
4704,-39.67294,2910.248151501775,15.364243105536671,1.777963702825188,0.35,26.596889709383248,0
4800,-68.455329,5774.375680903969,19.577922399455193,2.907671914589617,0.24500845446202318,18.935447088032966,0
4896,-57.277388,4660.576080261564,17.28198226787473,1.9069765537435877,0.3149494730524327,28.36138044178486,0
4992,-57.155601,4606.755694302359,17.118029017157053,2.4157983394440072,0.33242106832759943,28.309307644665246,0
5088,-34.953447,2654.483858596788,14.272528367460458,2.032840631444781,0.2209142231627515,39.517461391389375,0
5184,-60.619667,4953.700649078256,18.934487306048815,2.8093090539839363,0.28523939549922944,34.059615985900166,0
5280,-75.631776,6285.093576285576,21.14361728753782,2.969386739261499,0.35,37.07983225360514,0
5376,-86.323214,7414.451983915743,24.26645754089737,3.1099077668119954,0.24365294054150582,25.391583858877425,5
5472,-50.78452,4108.356932006248,16.42362941784759,2.1422939589863423,0.2611296040349101,35.52747221201659,0
5568,-80.241273,6803.086594394297,22.21823802658631,3.2399388687731268,0.2832639820873738,29.45134205833078,1
5664,-42.167774,3143.668886792107,16.182774981561575,1.874019925399404,0.34177633386693507,29.13647743627429,0
5760,-28.340141,2033.7022130093742,14.92532194210632,3.0241290794949016,0.15439140877049223,17.907909324765203,1
5856,-58.514877,4836.528271313742,17.968888176549893,2.109657713146995,0.261004339629098,25.586393585801133,0
5952,-50.64828,4009.1433010831206,17.525011901386183,2.226062065505806,0.2939279090613127,22.996722828149796,0
6048,-45.667828,3769.005448894938,16.63880301810218,2.763240275224811,0.12538912251199552,27.46735082075,0
6144,-61.815479,5047.559646508972,19.488292208608794,2.8355451884925467,0.2906117746606469,27.679475027471778,0
6240,-62.801083,5082.815306293307,18.30063322217928,3.08184962054244,0.35,35.960814521610736,1
6336,-75.362944,6457.82004906107,21.4049749080686,2.6632520598086358,0.21986331906365725,28.260839233100413,0
6432,-69.867156,5715.422228723554,21.27836206836153,2.698562678052624,0.35,32.352798827737566,0
6528,-64.926408,5377.144566232037,18.224939586345588,2.5006975193378986,0.3124800703537307,34.81923379033804,0
6624,-44.019606,3466.5942314342906,15.7121603352664,1.7004786292460559,0.2639883010795242,29.860856977403174,0
6720,-77.031782,6440.0019273105845,20.952837687248827,2.972112134536498,0.34380446113646035,26.465044273287052,0
6816,-48.553178,3972.4068371399394,17.47901346811195,2.081444031052306,0.18352185245603325,37.12470951363445,0
6912,-54.484427,4538.137300636196,17.282732011759624,2.4365606847223615,0.19624070413410666,26.40894477695227,0
7008,-75.351823,6398.940565664951,22.304976269134723,2.763014751895682,0.23771457092738468,32.09337860688567,0
7104,-44.445485,3570.808199889887,16.36247341892063,1.611915919701962,0.2122596364762438,37.00981947213411,0
7200,-33.732908,2745.9196605856905,13.09502434310867,2.34884138074056,0.09371114398695934,19.090478572845456,0
7296,-50.461951,4113.639398851355,18.494493369196583,2.2235446855848133,0.19251942206174139,33.969279827773576,0
7392,-54.95496,4372.144309877556,17.342956935557652,1.9515738474989734,0.35,29.598873235434297,0
7488,-76.62646,6516.074515057671,21.99944174488385,2.9865877529610403,0.24474980926239176,47.69570265486837,0
7584,-67.775628,5654.741203982767,21.243916880247188,2.773610357006864,0.24970643409576854,32.585529870539915,0
7680,-65.084436,5563.724535288618,19.10225220531456,2.6453611644076878,0.17722468583011314,36.12091415256263,0
7776,-57.557568,4674.392187173545,18.232501233082083,2.632623790748885,0.2860563841109213,41.39768990993501,0
7872,-60.80933,4894.7186260982435,18.90305713683231,2.860640227770047,0.3364646809175611,30.58271493062378,0
