epoch,train_pinball,val_pinball,seconds
0,0.37591,0.25866,3.1
1,0.26780,0.21452,2.9
2,0.22045,0.19197,2.8
3,0.19800,0.16350,2.8
4,0.18042,0.14762,3.0
5,0.16710,0.13488,2.8
6,0.15700,0.12350,2.8
7,0.14662,0.12054,2.7
8,0.13951,0.11165,2.8
9,0.13435,0.10933,2.9
10,0.12841,0.10276,2.8
11,0.12394,0.10208,2.9
12,0.11862,0.09603,3.0
13,0.11437,0.09399,2.8
14,0.11096,0.09030,2.7
15,0.10797,0.09278,2.8
16,0.10548,0.08761,2.8
17,0.10378,0.08561,2.9
18,0.10023,0.08805,3.1
19,0.09837,0.08227,2.6
20,0.09612,0.08160,3.0
21,0.09545,0.08281,2.9
22,0.09382,0.07904,2.9
23,0.09100,0.07815,2.8
24,0.08979,0.07575,2.9
25,0.08845,0.07699,2.8
26,0.08767,0.07670,2.8
27,0.08581,0.08010,2.9
28,0.08487,0.07267,2.9
29,0.08354,0.07474,2.8
30,0.08303,0.07489,2.8
31,0.08206,0.07353,2.8
32,0.08048,0.07105,2.7
33,0.07913,0.08066,2.9
34,0.08074,0.07145,2.9
35,0.07903,0.07081,2.6
36,0.07664,0.06895,2.6
37,0.07547,0.06933,2.9
38,0.07484,0.07105,2.8
39,0.07426,0.06893,2.8
40,0.07605,0.07226,2.9
41,0.07433,0.07064,2.8
42,0.07502,0.06922,2.6
43,0.07369,0.07487,2.6
44,0.07490,0.06993,2.8
45,0.07350,0.06902,2.6
46,0.07242,0.06849,2.9
47,0.07205,0.07157,2.7
48,0.07280,0.06803,2.8
49,0.07203,0.07088,2.8
50,0.07200,0.06803,2.8
51,0.07007,0.06984,2.7
52,0.07219,0.06830,2.9
53,0.07095,0.07022,2.9
54,0.07064,0.06757,2.8
55,0.07030,0.06734,3.0
56,0.07021,0.06788,2.8
57,0.06948,0.06838,2.7
58,0.06887,0.06830,3.5
59,0.06907,0.06732,2.9
