epoch,train_pinball,val_pinball,seconds
0,0.25122,0.11593,8.4
1,0.11518,0.09572,8.4
2,0.09972,0.08151,8.2
3,0.09201,0.08037,8.1
4,0.08635,0.08200,8.3
5,0.08339,0.07280,7.9
6,0.08052,0.07326,8.2
7,0.07779,0.07025,8.2
8,0.07674,0.07105,8.1
9,0.07543,0.06939,8.2
10,0.07476,0.07159,9.1
11,0.07491,0.06852,8.6
12,0.07320,0.06877,8.7
13,0.07300,0.07079,9.0
14,0.07336,0.06712,8.3
15,0.07166,0.06522,8.6
16,0.07116,0.06644,9.1
17,0.07168,0.06693,8.9
18,0.07091,0.06962,9.0
19,0.07065,0.06473,8.2
20,0.07030,0.06621,8.4
21,0.07070,0.06726,9.5
22,0.06963,0.06691,8.8
23,0.06949,0.07013,8.6
24,0.06947,0.06459,8.7
25,0.06892,0.06547,9.0
26,0.06995,0.06412,9.1
27,0.06931,0.06778,8.6
28,0.06858,0.06383,8.7
29,0.06898,0.06836,8.5
30,0.06847,0.06338,8.6
31,0.06860,0.06771,8.2
32,0.06825,0.06542,8.7
33,0.06797,0.06167,8.7
34,0.06796,0.06265,8.8
35,0.06828,0.06444,9.2
36,0.06760,0.06308,8.9
37,0.06755,0.06361,9.3
38,0.06777,0.06796,8.2
39,0.06710,0.06439,8.1
40,0.06696,0.06672,8.0
41,0.06685,0.06623,8.0
