epoch,train_pinball,val_pinball,seconds
0,0.27502,0.21103,9.0
1,0.21902,0.18525,8.8
2,0.18571,0.16842,8.2
3,0.17749,0.16806,10.9
4,0.17352,0.16746,8.4
5,0.17308,0.16008,10.3
6,0.17126,0.16249,10.2
7,0.17090,0.15988,8.7
8,0.17080,0.16090,9.1
9,0.17027,0.16059,8.7
10,0.17020,0.15826,8.6
11,0.16975,0.16136,8.7
12,0.17009,0.16180,8.7
13,0.16983,0.15981,8.2
14,0.16940,0.15964,8.3
15,0.16934,0.15856,8.3
16,0.16930,0.15986,8.2
17,0.16959,0.16421,8.2
18,0.16959,0.15782,8.3
19,0.16949,0.15864,9.1
20,0.16916,0.15967,7.8
21,0.16899,0.16023,8.2
22,0.16923,0.15895,8.2
23,0.16906,0.15982,8.4
24,0.16839,0.16159,8.4
25,0.16871,0.15765,8.3
26,0.16923,0.15983,7.8
27,0.16867,0.15948,8.5
28,0.16854,0.15960,8.5
29,0.16859,0.16083,8.1
30,0.16856,0.15893,8.3
31,0.16851,0.15895,8.2
32,0.16841,0.15856,8.2
33,0.16856,0.16020,8.3
