epoch,train_pinball,val_pinball,seconds
0,0.35498,0.21462,4.9
1,0.24895,0.21573,4.5
2,0.24020,0.21725,4.6
3,0.23390,0.20802,4.6
4,0.21235,0.19120,4.5
5,0.19243,0.17988,4.7
6,0.18160,0.16724,4.5
7,0.17785,0.17116,4.5
8,0.17315,0.17049,4.5
9,0.17225,0.16381,4.7
10,0.17155,0.16464,4.4
11,0.17299,0.16989,4.5
12,0.17166,0.16488,4.5
13,0.16999,0.16063,4.5
14,0.17012,0.16084,4.5
15,0.16992,0.16510,4.4
16,0.16905,0.16403,4.5
17,0.17227,0.16192,4.7
18,0.16976,0.16205,4.7
19,0.16783,0.16157,4.8
20,0.16974,0.16383,4.5
21,0.16841,0.16214,5.2
