epoch,train_pinball,val_pinball,seconds
0,0.05588,0.04501,0.6
1,0.05522,0.04488,0.6
2,0.05487,0.04475,0.6
3,0.05460,0.04456,0.6
4,0.05437,0.04458,0.6
5,0.05414,0.04417,0.6
6,0.05405,0.04420,0.6
7,0.05389,0.04432,0.6
8,0.05370,0.04452,0.7
9,0.05349,0.04478,0.6
