epoch,train_pinball,val_pinball,seconds
0,0.32801,0.43794,3.0
1,0.22197,0.37483,2.7
2,0.16622,0.28223,3.0
3,0.13145,0.22676,2.8
4,0.11372,0.20167,2.9
5,0.10456,0.18536,3.4
6,0.09882,0.17569,3.0
7,0.09090,0.16161,2.8
8,0.08631,0.15300,3.2
9,0.08188,0.15141,3.6
10,0.07661,0.13756,2.9
11,0.07423,0.13920,2.8
12,0.07162,0.13885,2.9
13,0.07011,0.13226,3.0
14,0.07009,0.12856,2.8
15,0.06956,0.12902,2.9
16,0.06918,0.13157,2.8
17,0.06846,0.12788,2.8
18,0.06900,0.13774,2.8
19,0.06822,0.13210,2.9
20,0.06693,0.14015,2.8
21,0.06665,0.13405,3.3
22,0.06630,0.13493,2.9
23,0.06558,0.12980,2.9
24,0.06592,0.13043,3.0
25,0.06577,0.13342,2.9
