epoch,train_pinball,val_pinball,seconds
0,0.33414,0.19462,3.4
1,0.15613,0.10892,3.5
2,0.12655,0.08714,3.4
3,0.11101,0.08133,3.4
4,0.10498,0.07832,3.6
5,0.09624,0.07510,3.3
6,0.08978,0.07512,3.4
7,0.08531,0.07230,3.3
8,0.08294,0.07085,3.5
9,0.08336,0.07078,3.3
10,0.07992,0.07276,3.3
11,0.07799,0.06708,3.3
12,0.07784,0.06788,3.4
13,0.07546,0.06694,3.4
14,0.07627,0.07039,3.3
15,0.07360,0.06514,3.4
16,0.07369,0.06123,3.4
17,0.07261,0.06513,3.3
18,0.07135,0.06592,3.1
19,0.07079,0.06240,3.4
20,0.07104,0.07010,3.3
