epoch,train_pinball,val_pinball,seconds
0,0.06516,0.06404,0.5
1,0.06323,0.06251,0.5
2,0.06221,0.06150,0.5
3,0.06152,0.06087,0.5
4,0.06127,0.06053,0.5
5,0.06093,0.06042,0.5
6,0.06080,0.06037,0.5
7,0.06058,0.06032,0.5
8,0.06041,0.06041,0.5
9,0.06028,0.06046,0.5
10,0.06019,0.06052,0.5
11,0.06010,0.06060,0.5
