epoch,train_pinball,val_pinball,seconds
0,0.04220,0.04002,0.7
1,0.04194,0.04015,0.7
2,0.04197,0.03995,0.7
3,0.04195,0.04040,0.7
4,0.04185,0.04009,0.7
5,0.04175,0.04005,0.7
6,0.04179,0.03976,0.7
7,0.04179,0.03990,0.7
8,0.04174,0.03945,0.7
9,0.04160,0.04022,0.7
10,0.04164,0.03950,0.7
11,0.04167,0.03978,0.7
12,0.04155,0.03929,0.7
13,0.04155,0.03946,0.7
14,0.04150,0.03932,0.7
15,0.04141,0.03992,0.7
16,0.04142,0.03945,0.7
