epoch,train_pinball,val_pinball,seconds
0,0.30147,0.22980,1.7
1,0.24022,0.17481,1.6
2,0.17340,0.13215,1.6
3,0.14016,0.11149,1.7
4,0.12566,0.11522,1.6
5,0.11633,0.10549,1.6
6,0.11255,0.09970,1.6
7,0.10672,0.09495,1.6
8,0.10100,0.09258,1.6
9,0.09892,0.08853,1.7
10,0.09591,0.08374,1.7
11,0.09419,0.08476,1.7
12,0.09317,0.08263,1.6
13,0.08972,0.08075,1.6
14,0.08835,0.07924,1.7
15,0.08761,0.07691,1.7
16,0.08723,0.07786,1.7
17,0.08520,0.07660,1.7
18,0.08373,0.07559,1.8
19,0.08273,0.07575,1.8
20,0.08183,0.07731,1.7
21,0.08104,0.07237,2.2
22,0.08068,0.08027,1.9
23,0.08073,0.07254,1.8
24,0.07909,0.07274,1.8
25,0.07820,0.07029,1.8
26,0.07757,0.07212,1.8
27,0.07762,0.07094,1.8
28,0.07727,0.06989,1.8
29,0.07610,0.07218,1.8
30,0.07613,0.06929,1.8
31,0.07619,0.06988,1.7
32,0.07610,0.07226,1.7
33,0.07540,0.06784,1.8
34,0.07460,0.06817,1.7
35,0.07530,0.06875,1.7
36,0.07567,0.06969,1.8
37,0.07449,0.06848,1.8
38,0.07422,0.06737,1.8
39,0.07274,0.08270,1.8
40,0.07599,0.06669,1.7
41,0.07390,0.07098,1.8
42,0.07260,0.06666,1.8
43,0.07259,0.06711,1.9
44,0.07313,0.07127,1.8
45,0.07335,0.06764,1.8
46,0.07171,0.06595,1.8
47,0.07262,0.06823,1.7
48,0.07165,0.06761,1.8
49,0.07223,0.06666,1.9
50,0.07204,0.06648,1.9
51,0.07155,0.06844,1.8
52,0.07239,0.07213,1.8
53,0.07270,0.06582,1.8
54,0.07077,0.06738,1.8
55,0.07139,0.06590,1.9
56,0.07022,0.06641,1.9
57,0.06942,0.06758,1.9
58,0.06942,0.06418,1.9
59,0.06894,0.06792,2.0
