epoch,train_pinball,val_pinball,seconds
0,0.28398,0.20712,10.9
1,0.22595,0.19178,11.0
2,0.20778,0.17931,10.9
3,0.19101,0.16961,10.9
4,0.17808,0.16144,10.9
5,0.17162,0.15901,10.9
6,0.16983,0.15973,10.9
7,0.16848,0.15847,10.9
8,0.16751,0.16079,11.1
9,0.16681,0.16096,10.9
10,0.16684,0.16143,10.9
11,0.16605,0.15914,10.9
12,0.16604,0.15800,10.9
13,0.16583,0.15785,10.9
14,0.16458,0.16052,11.2
15,0.16465,0.15837,10.9
16,0.16428,0.15795,11.0
17,0.16441,0.16300,11.0
18,0.16302,0.16367,10.9
19,0.16347,0.16650,11.3
20,0.16200,0.16499,11.0
21,0.16218,0.16179,11.1
