epoch,train_pinball,val_pinball,seconds
0,0.23884,0.17883,8.4
1,0.18465,0.16966,8.7
2,0.17918,0.16413,8.6
3,0.17558,0.16702,8.9
4,0.17353,0.16476,9.0
5,0.17360,0.16290,8.9
6,0.17289,0.16607,8.5
7,0.17219,0.16410,8.0
8,0.17237,0.16386,7.9
9,0.17115,0.16114,7.8
10,0.17102,0.16155,7.6
11,0.17146,0.16345,8.1
12,0.17136,0.16629,7.9
13,0.17076,0.16062,7.7
14,0.17052,0.16819,7.9
15,0.17104,0.15920,7.7
16,0.17056,0.16016,7.8
17,0.16979,0.16099,7.7
18,0.16975,0.16026,7.7
19,0.17039,0.16033,7.8
20,0.16989,0.16339,7.9
21,0.16934,0.16055,7.7
22,0.16932,0.15939,7.7
23,0.16910,0.16306,7.7
