epoch,train_pinball,val_pinball,seconds
0,0.13950,0.15813,10.5
1,0.07363,0.14044,10.4
2,0.06772,0.13324,10.4
3,0.06636,0.12728,10.5
4,0.06545,0.13468,10.4
5,0.06447,0.12812,10.5
6,0.06422,0.12834,10.8
7,0.06423,0.12611,10.6
8,0.06355,0.12672,10.5
9,0.06380,0.12348,10.7
10,0.06338,0.12563,10.9
11,0.06346,0.12610,10.9
12,0.06333,0.12643,11.1
13,0.06318,0.13478,11.0
14,0.06317,0.12367,11.1
15,0.06257,0.12691,11.3
16,0.06270,0.13255,11.3
17,0.06278,0.12263,11.4
18,0.06268,0.13070,11.5
19,0.06235,0.12295,11.5
20,0.06257,0.11800,11.4
21,0.06227,0.11950,11.6
22,0.06210,0.11971,11.5
23,0.06222,0.12323,11.5
24,0.06211,0.11987,11.6
25,0.06212,0.12203,11.5
26,0.06186,0.13007,11.5
27,0.06182,0.11983,11.6
28,0.06189,0.12460,11.9
