epoch,train_pinball,val_pinball,seconds
0,0.25648,0.26518,5.1
1,0.10577,0.17559,5.1
2,0.08342,0.14710,5.0
3,0.07650,0.15270,5.4
4,0.07148,0.14019,5.6
5,0.06955,0.14557,5.1
6,0.06802,0.14263,4.7
7,0.06697,0.15335,4.9
8,0.06680,0.14607,5.2
9,0.06649,0.13203,5.2
10,0.06565,0.13417,4.6
11,0.06534,0.14372,4.7
12,0.06580,0.13188,4.6
13,0.06506,0.13405,4.7
14,0.06481,0.13084,4.6
15,0.06450,0.14290,5.0
16,0.06459,0.13639,5.1
17,0.06488,0.13534,5.4
18,0.06471,0.13715,5.8
19,0.06384,0.13905,5.9
20,0.06432,0.13959,5.7
21,0.06376,0.14442,5.3
22,0.06363,0.14231,6.1
