epoch,train_pinball,val_pinball,seconds
0,0.43434,0.28837,0.9
1,0.28310,0.21842,0.7
2,0.25469,0.21416,0.7
3,0.24892,0.21310,0.7
4,0.24806,0.21543,0.7
5,0.24355,0.21321,0.7
6,0.24000,0.21432,0.7
7,0.23787,0.21221,0.9
8,0.23448,0.19840,0.7
9,0.22016,0.19055,0.7
10,0.20706,0.18637,0.7
11,0.20413,0.18321,0.8
12,0.20629,0.20401,0.8
13,0.21236,0.18447,0.8
14,0.20489,0.18566,0.8
15,0.20400,0.18315,0.7
16,0.20252,0.18293,0.7
17,0.20102,0.17989,0.8
18,0.19787,0.17843,0.8
19,0.19533,0.17720,0.8
20,0.19241,0.17696,0.8
21,0.19341,0.18717,0.8
22,0.19953,0.18836,0.8
23,0.19531,0.18146,0.8
24,0.19178,0.17809,0.8
