epoch,train_pinball,val_pinball,seconds
0,0.27669,0.35677,1.9
1,0.17729,0.30066,1.7
2,0.13724,0.22497,1.8
3,0.12134,0.19920,1.8
4,0.11193,0.19741,1.8
5,0.10412,0.18275,1.8
6,0.09800,0.16028,1.8
7,0.09423,0.16910,1.7
8,0.08716,0.15610,1.9
9,0.08170,0.13753,1.9
10,0.07971,0.14605,1.9
11,0.07803,0.14961,1.9
12,0.07559,0.13243,1.9
13,0.07332,0.13504,1.8
14,0.07263,0.13680,1.7
15,0.07195,0.13459,1.8
16,0.07049,0.12998,1.9
17,0.07264,0.13599,1.9
18,0.07100,0.14811,1.9
19,0.06907,0.12660,1.8
20,0.06790,0.12874,1.8
21,0.06670,0.12468,1.8
22,0.06830,0.12791,1.9
23,0.06800,0.15038,1.9
24,0.06680,0.12421,1.9
25,0.06778,0.12986,2.0
26,0.06659,0.13518,2.0
27,0.06605,0.14577,2.1
28,0.06716,0.12468,1.9
29,0.06719,0.14779,2.0
30,0.06575,0.12517,2.2
31,0.06465,0.13182,2.0
32,0.06581,0.13747,2.0
