epoch,train_pinball,val_pinball,seconds
0,0.35177,0.23013,2.9
1,0.26250,0.21711,2.9
2,0.23582,0.20128,3.3
3,0.21667,0.18774,2.4
4,0.20110,0.17920,2.5
5,0.19241,0.17611,2.6
6,0.18746,0.16770,2.9
7,0.18367,0.16569,3.2
8,0.17946,0.16330,2.9
9,0.17795,0.16177,2.6
10,0.17550,0.16112,2.9
11,0.17453,0.16210,3.1
12,0.17459,0.16088,2.7
13,0.17230,0.16046,2.6
14,0.17163,0.15858,3.0
15,0.17154,0.15956,3.1
16,0.17103,0.15864,2.7
17,0.17071,0.15747,2.7
18,0.17041,0.15635,2.6
19,0.17046,0.15851,2.6
20,0.16909,0.15899,2.8
21,0.17072,0.15780,2.6
22,0.16969,0.15646,2.7
