epoch,train_pinball,val_pinball,seconds
0,0.31721,0.15830,10.7
1,0.16117,0.12596,9.6
2,0.13289,0.11297,9.4
3,0.12519,0.10837,9.9
4,0.12286,0.10652,8.9
5,0.11508,0.10296,8.9
6,0.10537,0.10494,9.3
7,0.09553,0.08872,10.4
8,0.08846,0.09160,11.2
9,0.08340,0.07858,10.3
10,0.08041,0.07927,10.7
11,0.07767,0.07370,9.6
12,0.07543,0.07816,9.7
13,0.07501,0.06923,9.7
14,0.07368,0.07333,11.0
15,0.07295,0.07675,11.6
16,0.07194,0.06909,9.8
17,0.07157,0.06697,10.3
18,0.07098,0.07504,9.0
19,0.07042,0.06581,9.1
20,0.06989,0.06695,8.9
21,0.06961,0.06809,8.8
22,0.06905,0.06714,8.6
23,0.06892,0.06897,8.6
24,0.06839,0.07018,8.5
25,0.06883,0.07158,8.3
26,0.06801,0.06959,8.5
27,0.06744,0.06663,8.3
