epoch,train_pinball,val_pinball,seconds
0,0.21944,0.17410,18.8
1,0.17854,0.16841,19.9
2,0.17509,0.16477,20.0
3,0.17333,0.16614,18.7
4,0.17252,0.16400,18.1
5,0.17173,0.16174,17.9
6,0.17155,0.16257,17.1
7,0.17037,0.16465,18.0
8,0.17041,0.15968,18.2
9,0.17049,0.16068,18.5
10,0.17039,0.16350,17.5
11,0.17055,0.15743,17.5
12,0.17034,0.15703,17.7
13,0.16982,0.15873,17.9
14,0.16977,0.15895,17.7
15,0.16985,0.15807,18.6
16,0.16957,0.16169,18.6
17,0.16956,0.15875,18.3
18,0.16954,0.16028,18.0
19,0.16910,0.15909,18.0
20,0.16963,0.15882,16.8
