epoch,train_pinball,val_pinball,seconds
0,0.39595,0.23882,2.0
1,0.27871,0.22502,2.2
2,0.24915,0.21705,2.1
3,0.24275,0.21221,2.1
4,0.23139,0.21504,2.2
5,0.22383,0.20957,2.1
6,0.21650,0.20338,2.3
7,0.20780,0.19828,2.3
8,0.19956,0.19029,2.2
9,0.19295,0.18426,2.3
10,0.19114,0.18048,2.3
11,0.18554,0.17602,2.4
12,0.18495,0.17564,2.3
13,0.18275,0.17635,2.4
14,0.18188,0.17168,2.4
15,0.18093,0.17568,2.5
16,0.17909,0.17385,2.3
17,0.17700,0.17011,2.4
18,0.17660,0.16989,2.5
19,0.17723,0.16886,2.6
20,0.17577,0.16762,2.5
21,0.17346,0.17145,2.5
22,0.17556,0.17172,2.6
23,0.17362,0.16779,2.5
24,0.17500,0.17170,2.5
25,0.17524,0.16858,2.9
26,0.17153,0.16844,2.9
27,0.16831,0.16619,3.1
28,0.16954,0.16929,2.6
29,0.17076,0.17086,2.7
30,0.17304,0.16845,2.8
31,0.17242,0.17008,3.0
32,0.17147,0.16597,3.0
33,0.17049,0.16755,2.8
34,0.16837,0.16612,2.9
35,0.17287,0.17164,3.0
36,0.16932,0.16730,3.0
37,0.16677,0.16569,2.7
38,0.16824,0.16814,3.0
39,0.16697,0.17000,2.9
40,0.16811,0.16882,3.0
41,0.16702,0.16797,2.8
42,0.16576,0.16551,2.9
43,0.16424,0.16792,2.7
44,0.16601,0.17535,2.8
45,0.16754,0.17244,2.9
46,0.16807,0.17441,2.8
47,0.16625,0.16631,2.7
48,0.16624,0.16957,2.7
49,0.16584,0.16536,2.8
50,0.16571,0.16434,2.8
51,0.16343,0.17085,2.8
52,0.16588,0.16617,2.9
53,0.16213,0.16664,2.9
54,0.16126,0.17131,2.8
55,0.16353,0.16782,2.7
56,0.16766,0.16632,2.7
57,0.16331,0.17182,2.8
58,0.16395,0.16720,2.8
