epoch,train_pinball,val_pinball,seconds
0,0.40067,0.39755,1.3
1,0.38065,0.37471,1.0
2,0.35096,0.31238,0.9
3,0.28139,0.20207,0.9
4,0.22700,0.18010,0.9
5,0.18967,0.13964,1.0
6,0.16206,0.12216,1.0
7,0.14861,0.11580,0.9
8,0.13943,0.10408,1.0
9,0.13334,0.10343,1.0
10,0.13016,0.09280,1.1
11,0.12648,0.09122,1.2
12,0.12313,0.09082,1.0
13,0.12112,0.08491,1.0
14,0.11868,0.08619,1.0
15,0.11742,0.08310,1.0
16,0.11625,0.08584,1.0
17,0.11468,0.08118,0.9
18,0.11317,0.08623,0.9
19,0.11229,0.07959,0.9
20,0.11046,0.08161,0.9
21,0.10870,0.07986,1.0
22,0.10721,0.08287,1.0
23,0.10500,0.08007,1.3
