epoch,train_pinball,val_pinball,seconds
0,0.31141,0.28057,3.0
1,0.18180,0.25722,2.9
2,0.14011,0.20698,2.9
3,0.12018,0.19091,2.8
4,0.11081,0.16930,2.9
5,0.09902,0.16288,2.8
6,0.09115,0.15477,2.8
7,0.08627,0.15193,2.9
8,0.07965,0.13502,2.9
9,0.07667,0.13841,2.8
10,0.07466,0.14829,2.8
11,0.07201,0.13758,2.8
12,0.07128,0.13160,2.7
13,0.07166,0.12813,2.9
14,0.06995,0.14416,2.9
15,0.07040,0.13708,2.6
16,0.07051,0.13359,2.7
17,0.07127,0.14409,2.9
18,0.07143,0.13163,2.8
19,0.07068,0.12853,2.8
20,0.06800,0.13076,2.9
21,0.06661,0.13016,2.8
