epoch,train_pinball,val_pinball,seconds
0,0.20365,0.24700,11.3
1,0.11127,0.17827,11.2
2,0.09056,0.16033,11.2
3,0.08040,0.13965,11.2
4,0.07255,0.13800,11.2
5,0.06734,0.12840,11.3
6,0.06621,0.12930,11.1
7,0.06531,0.12644,11.1
8,0.06450,0.12855,11.2
9,0.06398,0.12554,11.2
10,0.06337,0.13704,11.2
11,0.06343,0.12865,11.1
12,0.06276,0.13230,11.5
13,0.06238,0.13636,11.2
14,0.06216,0.12113,11.2
15,0.06171,0.12378,11.2
16,0.06181,0.13501,11.2
17,0.06134,0.12327,11.2
18,0.06135,0.13513,11.2
19,0.06127,0.12571,11.2
20,0.06147,0.12387,11.3
21,0.06095,0.12372,11.3
22,0.06105,0.11978,11.6
23,0.06098,0.12362,11.3
24,0.06064,0.12047,11.3
25,0.06095,0.12621,11.3
26,0.06063,0.12579,11.3
27,0.06052,0.11895,11.3
28,0.06051,0.12067,11.3
29,0.06032,0.12218,11.3
30,0.06030,0.12925,11.3
31,0.06028,0.13642,11.3
32,0.06021,0.12271,11.4
33,0.06022,0.12997,11.3
34,0.06029,0.12907,11.4
35,0.06019,0.12451,11.4
