epoch,train_pinball,val_pinball,seconds
0,0.43578,0.34984,5.2
1,0.29805,0.21556,4.8
2,0.24751,0.21044,5.0
3,0.21944,0.19303,4.8
4,0.20872,0.18866,4.9
5,0.20675,0.18737,4.9
6,0.20431,0.18632,4.8
7,0.20094,0.18427,4.9
8,0.19928,0.18221,4.8
9,0.19574,0.18079,4.9
10,0.19259,0.17699,5.0
11,0.19060,0.17551,6.2
12,0.18836,0.17654,5.8
13,0.18735,0.17418,6.0
14,0.18570,0.17062,5.6
15,0.18407,0.17211,5.6
16,0.18364,0.16834,5.6
17,0.18238,0.16887,5.6
18,0.18086,0.16984,7.8
19,0.17942,0.16649,5.8
20,0.17803,0.16606,5.6
21,0.17654,0.16446,5.3
22,0.17536,0.16418,6.0
23,0.17492,0.16391,5.0
24,0.17379,0.16259,5.0
25,0.17306,0.16240,5.1
26,0.17247,0.16163,5.7
27,0.17201,0.15979,6.0
28,0.17168,0.16173,5.7
29,0.17089,0.15963,5.6
30,0.17032,0.15870,4.7
31,0.16974,0.15706,4.9
32,0.16938,0.15857,4.8
33,0.16917,0.15814,4.9
34,0.16892,0.15663,4.8
35,0.16878,0.15728,5.1
36,0.16797,0.15582,4.8
37,0.16816,0.15765,4.8
38,0.16768,0.15719,5.5
39,0.16747,0.15780,5.3
40,0.16722,0.15833,5.6
