epoch,train_pinball,val_pinball,seconds
0,0.25452,0.18865,9.5
1,0.19127,0.17886,9.4
2,0.17996,0.16925,9.4
3,0.17579,0.16287,10.6
4,0.17500,0.16418,11.2
5,0.17425,0.16040,9.9
6,0.17233,0.15886,10.1
7,0.17153,0.15995,9.2
8,0.17095,0.15937,8.9
9,0.17047,0.15976,8.7
10,0.17041,0.15863,8.7
11,0.17094,0.15877,8.5
12,0.17083,0.15873,8.3
13,0.17090,0.16011,8.5
14,0.17088,0.15760,8.2
15,0.17013,0.15992,8.3
16,0.17087,0.15906,8.0
17,0.16972,0.16216,7.8
18,0.17101,0.15748,8.2
19,0.16999,0.15920,8.3
20,0.16961,0.15834,8.0
21,0.16926,0.15931,7.9
22,0.17024,0.15925,8.1
23,0.16935,0.15668,7.7
24,0.17006,0.15761,8.0
25,0.17000,0.16050,8.1
26,0.16930,0.15753,7.9
27,0.16966,0.15945,8.0
28,0.17032,0.15833,8.8
29,0.16962,0.15884,8.4
30,0.16919,0.15975,8.8
31,0.16999,0.15796,8.9
