epoch,train_pinball,val_pinball,seconds
0,0.18552,0.09706,17.4
1,0.10576,0.07908,18.5
2,0.08564,0.07056,17.2
3,0.07798,0.07038,16.7
4,0.07605,0.06772,18.5
5,0.07400,0.06624,19.6
6,0.07314,0.07036,20.0
7,0.07208,0.06406,18.1
8,0.07110,0.06441,17.8
9,0.07054,0.06287,17.6
10,0.06996,0.06378,16.8
11,0.06945,0.06602,17.6
12,0.06932,0.06382,17.9
13,0.06843,0.06327,18.0
14,0.06840,0.06473,17.4
15,0.06789,0.06379,17.2
16,0.06789,0.06239,17.3
17,0.06773,0.06683,17.5
18,0.06703,0.06332,17.5
19,0.06680,0.06269,18.3
20,0.06675,0.06298,18.1
21,0.06644,0.06372,18.1
22,0.06623,0.06470,17.6
23,0.06559,0.06634,17.5
24,0.06584,0.06342,17.8
