epoch,train_pinball,val_pinball,seconds
0,0.37071,0.36974,1.0
1,0.35642,0.35622,0.9
2,0.33224,0.32975,1.6
3,0.27640,0.28092,1.6
4,0.22094,0.19791,2.0
5,0.18473,0.15053,1.4
6,0.16119,0.12844,1.0
7,0.14899,0.11559,0.9
8,0.13998,0.10629,1.1
9,0.13336,0.09594,0.9
10,0.12690,0.09071,0.9
11,0.12256,0.08550,1.0
12,0.11977,0.08321,0.9
13,0.11809,0.08718,0.9
14,0.11614,0.08415,0.9
15,0.11420,0.08363,1.0
16,0.11285,0.08168,1.0
17,0.11161,0.08269,0.9
18,0.11111,0.08041,0.9
19,0.10862,0.09213,0.9
20,0.10722,0.08277,0.9
21,0.10338,0.08003,0.9
22,0.10179,0.07797,0.9
23,0.09720,0.07609,0.9
24,0.09611,0.07704,0.9
25,0.09208,0.08035,0.9
26,0.09013,0.07453,1.1
27,0.08685,0.07642,2.3
28,0.08657,0.07227,2.0
29,0.08608,0.07800,1.8
30,0.08557,0.07115,1.3
31,0.08442,0.07339,1.0
32,0.08376,0.07755,1.1
33,0.08172,0.07297,1.5
34,0.08067,0.07365,1.1
