epoch,train_pinball,val_pinball,seconds
0,0.18326,0.11266,11.4
1,0.11476,0.08696,11.4
2,0.09304,0.07511,11.4
3,0.08196,0.07302,11.4
4,0.07672,0.07316,11.9
5,0.07444,0.06751,11.3
6,0.07370,0.06675,11.4
7,0.07266,0.06528,11.3
8,0.07168,0.06771,11.2
9,0.07087,0.06864,11.2
10,0.07033,0.06563,11.1
11,0.06969,0.06539,11.2
12,0.06903,0.06616,12.3
13,0.06879,0.06326,11.6
14,0.06830,0.06390,11.5
15,0.06798,0.06760,11.3
16,0.06761,0.06401,12.0
17,0.06761,0.06491,11.4
18,0.06727,0.06734,11.3
19,0.06711,0.06497,11.3
20,0.06690,0.06680,11.3
21,0.06647,0.06528,11.4
