epoch,train_pinball,val_pinball,seconds
0,0.22585,0.14177,8.3
1,0.13566,0.09467,8.0
2,0.10619,0.08044,7.9
3,0.09351,0.07641,8.0
4,0.08617,0.07426,7.9
5,0.08142,0.07340,7.9
6,0.07858,0.07075,7.7
7,0.07695,0.06816,7.9
8,0.07482,0.06712,8.0
9,0.07373,0.06770,8.0
10,0.07341,0.06679,7.8
11,0.07215,0.06559,7.8
12,0.07231,0.06585,7.8
13,0.07156,0.07044,7.4
14,0.07181,0.06556,7.8
15,0.07049,0.06399,7.7
16,0.06989,0.06693,7.8
17,0.06968,0.06338,7.7
18,0.06967,0.06458,7.9
19,0.07002,0.06488,8.1
20,0.06810,0.06417,8.4
21,0.06812,0.06481,8.1
22,0.06817,0.06322,8.0
23,0.06781,0.06442,9.1
24,0.06745,0.06218,8.6
25,0.06754,0.06123,8.4
26,0.06656,0.06376,9.6
27,0.06717,0.06508,9.0
28,0.06648,0.06467,9.1
29,0.06647,0.06361,9.4
30,0.06599,0.06516,8.7
31,0.06578,0.06522,9.1
32,0.06551,0.06513,9.0
33,0.06581,0.06627,8.8
