epoch,train_pinball,val_pinball,seconds
0,0.29957,0.14451,6.5
1,0.15310,0.11611,6.1
2,0.10804,0.09633,6.4
3,0.09599,0.09035,6.6
4,0.09056,0.08626,6.7
5,0.08699,0.07876,6.6
6,0.08414,0.07629,6.7
7,0.08221,0.07652,6.4
8,0.07999,0.07435,6.7
9,0.07973,0.07771,5.1
10,0.07825,0.07445,5.1
11,0.07770,0.07309,5.2
12,0.07581,0.07233,4.7
13,0.07488,0.07362,5.0
14,0.07401,0.07120,4.7
15,0.07376,0.07327,4.8
16,0.07259,0.07135,5.0
17,0.07383,0.07292,4.8
18,0.07211,0.06867,5.2
19,0.07248,0.07083,4.9
20,0.07165,0.06913,4.5
21,0.07144,0.06916,4.9
22,0.07099,0.07064,5.0
23,0.07197,0.07250,4.4
24,0.07083,0.07010,4.5
25,0.06960,0.06803,4.6
26,0.06904,0.06784,4.5
27,0.06978,0.06962,4.4
28,0.06937,0.07038,4.5
29,0.06940,0.06798,4.5
30,0.06802,0.06881,4.4
31,0.06923,0.06886,4.4
32,0.06852,0.06712,4.4
33,0.06911,0.06875,4.4
34,0.06844,0.06951,4.5
35,0.06799,0.06777,4.8
36,0.06728,0.06824,4.4
37,0.06756,0.06900,4.4
38,0.06688,0.06843,4.4
39,0.06723,0.06980,4.4
40,0.06765,0.06871,4.9
