epoch,train_pinball,val_pinball,seconds
0,0.39953,0.22664,1.7
1,0.26229,0.21825,1.6
2,0.25003,0.22009,1.6
3,0.24394,0.21060,1.7
4,0.23632,0.20842,1.6
5,0.22821,0.20575,1.7
6,0.21640,0.20813,1.7
7,0.20753,0.19191,1.7
8,0.19658,0.20122,1.7
9,0.19808,0.18679,1.7
10,0.19023,0.17941,1.7
11,0.18641,0.18246,1.6
12,0.18846,0.17989,1.6
13,0.18759,0.17627,1.6
14,0.18187,0.17633,1.7
15,0.18001,0.17553,1.7
16,0.18171,0.17196,1.7
17,0.17784,0.17194,1.7
18,0.17803,0.17029,1.7
19,0.17734,0.17079,1.7
20,0.17976,0.17045,1.7
21,0.17665,0.16911,2.3
22,0.17651,0.16615,1.8
23,0.17816,0.16757,1.8
24,0.17570,0.16793,1.7
25,0.17644,0.16802,1.8
26,0.17588,0.16875,1.8
27,0.17489,0.17302,1.8
28,0.17510,0.17088,1.8
29,0.17310,0.16868,1.8
30,0.17466,0.16967,1.8
