epoch,train_pinball,val_pinball,seconds
0,0.27997,0.21885,4.8
1,0.23958,0.21442,4.9
2,0.23566,0.21540,4.4
3,0.22803,0.20337,4.4
4,0.20431,0.18187,4.6
5,0.18803,0.17205,4.4
6,0.18127,0.16727,4.3
7,0.17892,0.16728,4.4
8,0.17588,0.16551,4.4
9,0.17474,0.16252,4.3
10,0.17328,0.16152,4.3
11,0.17171,0.15970,4.3
12,0.17326,0.16429,4.3
13,0.17217,0.16340,4.4
14,0.17080,0.16056,4.7
15,0.17149,0.16135,4.3
16,0.16997,0.15893,4.3
17,0.16996,0.16478,4.3
18,0.16972,0.16071,4.4
19,0.16971,0.15975,4.3
20,0.16962,0.16013,4.6
21,0.16824,0.16299,4.5
22,0.17027,0.16032,4.6
23,0.16880,0.15940,4.8
24,0.16815,0.16192,4.6
