epoch,train_pinball,val_pinball,seconds
0,0.25664,0.20284,13.9
1,0.19025,0.16812,14.2
2,0.17763,0.16445,14.4
3,0.17428,0.16321,14.6
4,0.17239,0.16105,14.8
5,0.17133,0.15972,15.3
6,0.17095,0.16046,15.2
7,0.17006,0.15993,17.4
8,0.16967,0.16024,17.8
9,0.16945,0.16073,20.2
10,0.16915,0.15991,22.8
11,0.16921,0.15735,22.3
12,0.16918,0.15925,17.5
13,0.16878,0.15813,21.0
14,0.16888,0.15897,18.5
15,0.16873,0.15846,18.6
16,0.16843,0.16002,17.5
17,0.16864,0.15804,17.2
18,0.16834,0.15916,16.9
19,0.16814,0.15797,16.7
