epoch,train_pinball,val_pinball,seconds
0,0.34533,0.22730,2.6
1,0.25324,0.20285,2.6
2,0.20897,0.19630,2.8
3,0.19927,0.17670,2.6
4,0.19119,0.17721,2.5
5,0.18675,0.17474,2.8
6,0.18575,0.17911,2.6
7,0.18472,0.17046,2.7
8,0.18038,0.17714,2.7
9,0.17836,0.16718,2.8
10,0.17588,0.16242,2.6
11,0.17544,0.16467,2.6
12,0.17452,0.16702,2.6
13,0.17596,0.16533,2.7
14,0.17408,0.16092,2.6
15,0.17240,0.16023,2.6
16,0.17194,0.15775,2.6
17,0.17091,0.16060,2.6
18,0.17155,0.15923,2.5
19,0.17032,0.16016,2.7
20,0.16849,0.15842,2.7
