epoch,train_pinball,val_pinball,seconds
0,0.29991,0.13970,6.7
1,0.15179,0.10291,6.7
2,0.12316,0.09397,6.2
3,0.11145,0.08887,6.4
4,0.10033,0.08393,6.6
5,0.09534,0.08513,7.4
6,0.09069,0.08038,6.9
7,0.08757,0.07673,7.0
8,0.08637,0.07633,6.6
9,0.08339,0.07423,6.6
10,0.08113,0.07340,6.5
11,0.07881,0.07110,6.5
12,0.07765,0.07492,7.0
13,0.07630,0.07542,6.7
14,0.07607,0.07219,6.2
15,0.07514,0.07145,6.0
16,0.07471,0.07216,6.4
17,0.07415,0.07044,6.4
18,0.07312,0.07253,6.4
19,0.07323,0.07221,6.3
20,0.07195,0.06834,6.3
21,0.07114,0.06846,6.5
22,0.07128,0.06952,6.6
23,0.07120,0.06943,6.5
24,0.07094,0.06880,6.5
25,0.07054,0.06778,6.2
26,0.06965,0.07070,6.3
27,0.07056,0.07310,6.5
28,0.07044,0.06938,6.7
29,0.06923,0.06601,6.7
30,0.06903,0.06793,6.4
31,0.06923,0.07226,6.7
32,0.06850,0.06915,6.3
33,0.06812,0.06817,6.7
34,0.06862,0.06579,6.5
35,0.06695,0.06725,6.3
36,0.06822,0.06992,6.4
37,0.06729,0.06801,6.4
38,0.06725,0.06559,6.3
39,0.06627,0.06715,6.3
40,0.06644,0.06622,6.3
41,0.06757,0.06857,6.3
42,0.06772,0.06880,6.8
43,0.06627,0.06721,6.0
44,0.06602,0.06621,6.6
45,0.06577,0.06626,6.4
46,0.06536,0.07073,7.0
