epoch,train_pinball,val_pinball,seconds
0,0.28678,0.43704,11.5
1,0.21767,0.32419,11.4
2,0.16565,0.27526,11.4
3,0.13279,0.21912,11.5
4,0.11526,0.20587,11.5
5,0.10426,0.18806,11.4
6,0.09841,0.19525,11.4
7,0.09389,0.16630,11.4
8,0.09070,0.17890,11.3
9,0.08807,0.16802,11.8
10,0.08572,0.18766,11.3
11,0.08324,0.16214,11.3
12,0.08084,0.16090,11.3
13,0.07849,0.15047,11.3
14,0.07618,0.15055,11.3
15,0.07440,0.14422,12.0
16,0.07248,0.14704,11.5
17,0.07073,0.14252,12.4
18,0.06939,0.13778,13.2
19,0.06812,0.13408,13.8
20,0.06731,0.13301,14.6
21,0.06641,0.12851,13.7
22,0.06560,0.12798,12.1
23,0.06492,0.13118,11.7
24,0.06446,0.12799,11.8
25,0.06420,0.12895,11.9
26,0.06360,0.12735,11.9
27,0.06337,0.13142,11.7
28,0.06280,0.12351,12.6
29,0.06256,0.12502,12.4
30,0.06224,0.13028,11.6
31,0.06210,0.12865,11.9
32,0.06176,0.12433,11.6
33,0.06160,0.12268,14.4
34,0.06138,0.13108,14.7
35,0.06134,0.12557,15.0
36,0.06098,0.12525,12.3
37,0.06076,0.12006,13.2
38,0.06068,0.12715,14.7
39,0.06046,0.13519,12.9
40,0.06042,0.12672,12.2
41,0.06034,0.12060,13.2
42,0.06008,0.12555,12.1
43,0.05977,0.12452,11.9
44,0.05980,0.12263,12.1
45,0.05985,0.12870,12.3
