epoch,train_pinball,val_pinball,seconds
0,0.45749,0.34097,1.3
1,0.31352,0.22970,1.0
2,0.26745,0.22295,0.8
3,0.26174,0.21752,0.8
4,0.25254,0.20791,0.8
5,0.23330,0.19379,0.8
6,0.21331,0.19554,0.8
7,0.21576,0.18942,0.8
8,0.20902,0.17937,0.8
9,0.20214,0.18235,0.8
10,0.20704,0.18242,0.9
11,0.20774,0.17793,0.9
12,0.20042,0.18192,0.8
13,0.19880,0.17415,0.9
14,0.19672,0.17771,0.8
15,0.19982,0.17321,0.8
16,0.19524,0.17222,0.8
17,0.19168,0.16886,0.8
18,0.19332,0.17315,0.8
19,0.18946,0.17257,0.9
20,0.18584,0.17048,0.8
21,0.18429,0.16542,0.8
22,0.18143,0.16544,0.7
23,0.18035,0.16744,0.9
24,0.18358,0.17160,0.9
25,0.18295,0.16567,0.8
