epoch,train_pinball,val_pinball,seconds
0,0.19930,0.10538,14.1
1,0.10963,0.08807,14.6
2,0.09380,0.07982,14.8
3,0.08430,0.07158,14.9
4,0.07971,0.07260,15.2
5,0.07635,0.06798,15.6
6,0.07423,0.06607,16.1
7,0.07323,0.06673,17.7
8,0.07199,0.06638,18.6
9,0.07169,0.06978,21.2
10,0.07093,0.06754,24.2
11,0.07030,0.06749,20.8
12,0.06954,0.06447,19.0
13,0.06902,0.06591,20.2
14,0.06855,0.06212,19.6
15,0.06810,0.06192,17.9
16,0.06774,0.06193,18.0
17,0.06724,0.06107,17.8
18,0.06690,0.06175,16.8
19,0.06664,0.06209,16.7
20,0.06636,0.06244,17.6
21,0.06630,0.06248,17.3
22,0.06601,0.06156,16.7
23,0.06561,0.06132,17.5
24,0.06523,0.06383,16.4
25,0.06518,0.06161,17.7
